model_name,holdout_rmse,holdout_mae,holdout_r2,holdout_mape,walk_forward_rmse,walk_forward_mae,walk_forward_r2,walk_forward_mape,selection_score
gradient_boosting,16983.512519315704,13288.600420410181,0.9685751962720588,2.563423857149696,17315.81297167112,13741.2261694029,0.9664086304171913,2.6746829084681267,9.0
linear_regression,13811.737419715797,11010.534743025442,0.9792167161593983,2.117382429215197,19460.576790538897,15770.235236841547,0.950199652996919,3.0922603913689146,15.0
hist_gradient_boosting,17825.79559847863,13665.743129009526,0.9653809307801963,2.639312598462631,17989.11098932005,14045.722054495034,0.9636781227317296,2.727119562793758,17.0
random_forest,18144.857911729414,13377.04231433788,0.9641305526180727,2.5637303911966915,18397.626092876777,14038.948869933185,0.9620296674110457,2.724001512238316,19.0
